GameID,posteam,InterceptionThrown,Fumble,Touchdown,FieldGoalResult,Penalty.Yards,Yards.Gained,ReturnResult,Sack,PosTeamScore,DefTeamScore,win
2009112907,SEA,0,2,2,2,25,332,0,1,26.0,17.0,1
2009112907,STL,2,0,4,1,62,478,1,4,16.0,26.0,0
2009112908,ARI,0,2,2,1,20,479,1,1,17.0,13.0,1
2009112908,TEN,0,1,2,2,43,620,0,4,19.0,17.0,1
2009112909,KC,1,4,3,0,49,431,1,2,14.0,36.0,0
2009112909,SD,0,1,4,2,31,519,0,0,36.0,14.0,1
2009112910,JAC,0,2,0,1,45,493,0,6,3.0,20.0,0
2009112910,SF,0,0,2,2,20,347,0,0,20.0,3.0,1
2009112911,BAL,0,3,2,2,69,502,0,5,17.0,17.0,0
2009112911,PIT,1,0,2,1,70,554,0,1,17.0,17.0,0
2009113000,NE,2,2,2,1,25,487,0,2,17.0,38.0,0
2009113000,NO,0,0,5,1,11,621,0,1,38.0,17.0,1
2009120300,BUF,1,4,1,2,13,376,0,4,13.0,19.0,0
2009120300,NYJ,0,2,1,4,10,418,0,5,19.0,13.0,1
2009120600,ATL,2,2,2,0,72,488,1,2,6.0,33.0,0
2009120600,PHI,0,0,3,2,20,415,0,2,33.0,0.0,1
2009120601,CAR,1,0,1,3,30,414,0,1,16.0,6.0,1
2009120601,TB,5,1,0,2,57,591,0,3,6.0,16.0,0
2009120602,CHI,0,4,2,1,80,455,0,2,17.0,9.0,1
2009120602,STL,1,1,0,3,40,351,0,3,9.0,17.0,0
2009120603,CIN,2,1,1,4,80,409,0,2,22.0,13.0,1
2009120603,DET,2,0,3,0,40,438,1,3,13.0,22.0,0
2009120604,IND,0,0,3,2,50,435,0,0,27.0,17.0,1
2009120604,TEN,1,3,2,1,40,560,0,1,17.0,27.0,0
2009120605,HOU,3,1,2,1,55,444,0,2,18.0,23.0,0
2009120605,JAC,0,2,2,3,27,406,0,4,23.0,18.0,1
2009120606,DEN,1,2,4,3,35,513,0,3,43.0,13.0,1
2009120606,KC,2,2,2,2,10,493,1,2,13.0,43.0,0
2009120607,OAK,0,2,3,2,91,499,0,3,26.0,24.0,1
2009120607,PIT,1,0,3,1,20,567,0,1,24.0,27.0,0
2009120608,NO,1,2,3,4,30,651,1,1,29.0,36.0,0
2009120608,WAS,1,1,3,3,87,638,0,0,36.0,29.0,1
2009120609,CLE,0,1,3,1,30,525,0,3,20.0,30.0,0
2009120609,SD,0,0,3,3,5,514,0,1,30.0,23.0,1
2009120610,ARI,1,1,3,3,67,468,0,0,30.0,17.0,1
2009120610,MIN,2,0,2,1,33,471,0,3,16.0,30.0,0
2009120611,DAL,0,2,4,1,30,651,1,2,23.0,30.0,0
